,TP,FP,FN,TN,coverage,accuracy,precision,recall,F1,max_epochs,warmup_frac,calibration_frac,transformer_lr,score_lr,use_counts,batch_size,regularization,norm,alpha_decay,fold,threshold,alpha
263,450454,4606,571928,1501616234,1.0,0.9996163201007671,0.9898782578121567,0.44059265519150376,0.6097755444883793,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,2,0.55,14.25964069366455
264,443984,4598,578398,1501616242,1.0,0.9996120196787471,0.9897499230909845,0.4342642965153925,0.6036639917768212,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,2,0.6000000000000001,14.25964069366455
265,439262,4598,583120,1501616242,1.0,0.9996088772162312,0.9896408777542468,0.429645670600617,0.5991671224804637,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,2,0.65,14.25964069366455
266,435540,1508,586842,1501619332,1.0,0.9996084566240435,0.9965495780783804,0.4260051526728757,0.5968631589045039,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,2,0.7000000000000001,14.25964069366455
267,201400,0,820982,1501620840,1.0,0.9994536414313258,1.0,0.196990948588688,0.32914358929940135,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,2,0.75,14.25964069366455
268,195178,0,827204,1501620840,1.0,0.9994495007278581,1.0,0.1909051606933612,0.3206051447156608,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,2,0.8,14.25964069366455
269,183244,0,839138,1501620840,1.0,0.9994415587228463,1.0,0.17923241997609504,0.303981500067185,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,2,0.8500000000000001,14.25964069366455
270,164856,0,857526,1501620840,1.0,0.9994293216197664,1.0,0.16124697031051016,0.27771348289054093,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,2,0.9,14.25964069366455
271,89152,0,933230,1501620840,1.0,0.9993789410644278,1.0,0.08720028326007305,0.16041254698461765,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,2,0.9500000000000001,14.25964069366455
272,0,0,1022382,1501620840,1.0,0.0,0.0,0.0,0.0,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,2,1.0,14.25964069366455
273,1005886,1488790726,165568,123160304,1.0,0.07697257414211331,0.0006751834390666476,0.8586645314284641,0.001349305894523431,1,0.1,0,1e-05,100,True,8,0,1.0,1e-05,3,0.0,19.354061126708984
