name,ult_org,score
American Physicians Capital Inc,American Physical Therapy Assn,0.9001899906364962
American Financial Group Inc,American Financial Services Assn,0.9683076773118611
San Diego Gas & Electric Co,San Diego State University,0.9652031126756127
Technology Spectrum Inc,Technology Systems Inc,0.9650245978655889
E*TRADE Financial Corporation,E*TRADE Financial,0.9649588121928762
Spectrum Brands Holdings Inc,Spectrum Brands,0.9626387799838916
Williams Cos Inc.,Williams-Pyro Inc,0.96261197537032
PNC Financial Services Group Inc.,PNC Financial Services,0.9564887435382932
Valley Bancorp,Valley Health System,0.9530035358545512
First State Bancorporation Inc,First State Bancshares of Blakely,0.9518517530818987
ICTS International NV,ICTS International,0.9511780886017054
North American Technologies Group Inc,North America's Supercorridor Coalition,0.9502452631949357
McGraw-Hill Ryerson Ltd,McGraw-Hill Companies,0.9493023214084662
Republic Property Trust,Republic of Lativa,0.9477476891987414
Fairmont Hotels & Resorts Inc.,Fairmont Homes,0.9471063693160913
Northwest Bancshares Inc,Northwest Alaska Native Assn,0.9467729363977159
First American Scientific Corp,First American Corp,0.9451683702109273
Federal Home Loan Mortgage Corp,Federal Home Loan Bank,0.94471353411092
Jefferson-Pilot Corp,"Jefferson County, AL",0.9443659921389154
World Health Alternatives,World Health Organization,0.9400292019896499
Venture Catalyst Inc/UT,Venture Healthcare Systems,0.9386743849247478
Pennsylvania Power Co,Pennsylvania REIT,0.9386131175696361
New York & Co Inc,New York Stock Exchange,0.9368659397149741
Mobile Climate Control Industries Inc,"Mobile County, AL",0.9364348517437036
"Nestle SA, Cham Und Vevey",Nestle SA,0.9345469589840316
New York Health Care Inc,New York State Public Housing Authority,0.9340761804499378
California Grapes International Inc,California State University,0.9340637517024993
General Motors Co,General Atomics,0.9326482868865341
California Pizza Kitchen Inc,California Science Center,0.9323090972624535
West Penn Power Co,West Penn Allegheny Health Systems,0.9310078237785122
First Community Bancshares Inc,First Command Financial Services,0.9295416769749766
Applied Neurosolutions Inc,Applied Digital Solutions,0.9275486818049816
Livingston International Income Fund,Livingston Group,0.927307870315598
Triant Holdings Inc,Tanana Chiefs Conference,0.9270933309558672
Universal Logistics Holdings Inc,University of Kentucky,0.9266351385044264
Spectrum Group International Inc,Spectrum Group,0.9266186727858189
Gemstar TV Guide International Inc,Gemstar-TV Guide International,0.9245524986288346
Georgia Power Co,Georgia Tech,0.9241736029784188
Edison Mission Energy,Edison Electric Institute,0.9240272558975675
Great Panther Silver Ltd,Great Projects Film Co,0.9238543170753523
Independent Bank Corp.,Independent Community Bankers of America,0.9237262107790296
Spectrum Control Inc,Spectrum Consulting,0.9230725231154809
Porter Bancorp Inc,Porter Technologies,0.922014608263748
Atlas Air Worldwide Holdings Inc.,Atlas Air Worldwide,0.9216027937668271
Florida Banks Inc,Florida State College/Jacksonville,0.9207218115071489
Providence Service Corp,Providence Health & Services,0.9201063620448416
